sample	window_reads	total_mapped	RT_CPM
SRR23630177	20	62427962	0.320369
SRR23630178	57	104949043	0.543121
SRR23630179	24	60259876	0.398275
SRR23630180	21	85629317	0.245243
SRR23630181	57	135141450	0.421780
SRR23630182	28	64417308	0.434666
SRR23630183	143	43973082	3.251989
SRR23630184	134	37389574	3.583887
SRR23630185	65	106735861	0.608980
SRR23630186	57	100200083	0.568862
SRR23630187	45	101421607	0.443692
SRR23630188	12	84597270	0.141849
SRR23630189	22	102020646	0.215643
SRR23630190	111	143223523	0.775012
SRR23630191	73	99187617	0.735979
SRR23630192	54	86929497	0.621193
SRR23630193	44	118296609	0.371946
SRR23630194	18	119143364	0.151078
SRR23630195	32	61202903	0.522851
SRR23630196	45	52217388	0.861782
SRR23630197	82	35430469	2.314392
SRR23630198	36	65076746	0.553193
SRR23630199	132	42057806	3.138537
SRR23630200	64	143202879	0.446918
SRR23630201	32	95222034	0.336057
SRR23630202	87	114591660	0.759218
SRR23630203	30	95638371	0.313682
SRR23630204	46	52639201	0.873873
SRR23630205	49	89544425	0.547214
SRR23630206	27	69279510	0.389726
SRR23630207	55	104135416	0.528158
SRR23630208	52	127674204	0.407287
SRR23630209	93	28113484	3.308021
SRR23630210	45	108245793	0.415721
SRR23630211	43	124175701	0.346284
SRR23630212	63	67676747	0.930896
SRR23630213	50	93964512	0.532116
SRR23630214	38	55063564	0.690112
SRR23630215	26	108230598	0.240228
SRR23630216	24	64041832	0.374755
SRR23630217	40	75979184	0.526460
SRR23630218	28	104958054	0.266773
SRR23630219	55	100537558	0.547059
SRR23630220	32	115415923	0.277258
SRR23630221	22	37837157	0.581439
SRR23630222	17	80872065	0.210209
SRR23630223	74	60961528	1.213880
SRR23630224	161	44951015	3.581677
SRR23630225	44	53710978	0.819199
SRR23630226	28	49646009	0.563993
SRR23630227	70	122123678	0.573189
SRR23630228	10	69470100	0.143947
SRR23630229	70	34357678	2.037390
SRR23630230	34	111979869	0.303626
SRR23630231	7	97551993	0.071757
SRR23630232	500	40624637	12.307802
SRR23630233	33	91443466	0.360879
SRR23630234	51	115353312	0.442120
SRR23630235	44	88114020	0.499353
SRR23630236	145	44809285	3.235936
SRR23630237	32	108180924	0.295801
SRR23630238	28	85051136	0.329214
SRR23630239	62	124806157	0.496770
SRR23630240	69	97024263	0.711162
SRR23630241	25	119350002	0.209468
SRR23630242	19	113005312	0.168134
SRR23630243	24	73574075	0.326202
SRR23630244	49	104926481	0.466994
SRR23630245	13	100825901	0.128935
SRR23630246	18	102669623	0.175320
SRR23630247	20	52202538	0.383123
SRR23630248	36	73156105	0.492098
SRR23630249	19	57879874	0.328266
SRR23630250	65	127136251	0.511263
SRR23630251	14	64340119	0.217594
SRR23630252	63	47209838	1.334468
SRR23630253	59	39018476	1.512104
SRR23630254	99	39539647	2.503816
SRR23630255	173	40597223	4.261375
SRR23630256	27	78138179	0.345542
SRR23630257	33	124095230	0.265925
SRR23630258	44	107433041	0.409557
